sentence	label
the half-ling book one in the fall of igneeria series kaylee soderburg copyright 2013 kaylee soderburg all rights reserved .	1
isbn : 1492913731 isbn-13 : 978-1492913733 for my family , who encouraged me to never stop fighting for my dreams chapter 1 summer vacations supposed to be fun , right ?	1
i wish i had a better answer to that question .	1
starlings , new york is not the place youd expect much to happen .	1
its a small quiet town , the kind where everyone knows your name .	1
its a place where your parents wouldnt even care if you stayed out late biking with your friends .	1
only because everyone felt so safe , so comfy .	1
they dont know the half of it .	1
but i do .	1
i know it all and starlings is not the place where you want to be after dark .	1
the only reason why no one knows this is because jason , emily , seth and i have kept it that way .	1
i walked along the empty road alone , occasionally waving to passing kids on bikes .	1
my backpack was slung over my shoulder , filled with my writing books and sketchpads .	1
i kept my eyes on the shadowed road , watching my every step .	1
usually i was more aware of my surroundings , but today i was tired and didnt care if i rammed into a tree .	1
i kicked a rock into the grass .	1
the sun was starting to set , painting the sky in brilliant oranges and reds .	1
it slipped down the sky , allowing the first stars to peek out from behind the bright curtain .	1
the remaining light cast shadows over everything , creating the illusion that there was double of everything .	1
the world prepared to go into its hours of unreal silence that made it seem magical , and it really was .	1
my phone buzzed and i awoke from my trance .	1
i thumbed the keypad and opened the message seth had sent me .	1
it read : whatcha doing ?	1
i flipped open the pad and wrote : walking home .	1
i shoved it back in my pocket and continued walking .	1
the sun was almost gone and shadows were starting to appear behind everything .	1
i looked at my own shadow , that danced behind me .	1
the phone buzzed again as seth sent me a reply .	1
see anything ?	1
do you want me to meet you ?	1
i glanced at the nearby woods .	1
my ears heard nothing and i didnt see any movement but my hands shook slightly as i typed , nothing , im fine .	1
i didnt open his reply because i knew what it would say .	1
i already knew that it was strangely quiet .	1
maybe i could stay home and sleep one night .	1
or maybe i could finish a painting tonight and watch mom do origami .	1
i turned the corner , and my house came into view .	1
i started to climb the hill when i froze .	1
out of my left eye i saw the outline of a creature .	1
it was heading through the woods in the direction of my house .	1
i swore under my breath and took off for the woods .	1
my feet crunched on the fallen branches and leaves .	1
i could see the creature ahead of me .	1
i didnt have much time .	1
i placed my bag on the ground and crossed my legs .	1
i started to grab my phone but stopped .	1
i didnt need to tell the others , it was just one .	1
and if i was lucky , it would be an easy take down .	1
i closed my eyes and began my mental countdown .	1
the wind picked up around me , as if a wind current had just appeared out of nowhere .	1
5 my body started to feel hot , like i was being hugged by the sun .	1
i hated this part .	1
4 power surged through me as i was freed from my human self .	1
shivers ran down my spine .	1
3 i felt cold , like being dipped in ice water .	1
the breeze picked up even harder .	1
2 i was hollow and could probably see my own body if i opened my eyes .	1
but i could never get the courage to do that .	1
1 the wind died .	1
my body felt normal except it was different .	1
i opened my eyes and looked over to where i just had been or still was .	1
my human body slightly glowed as it sat in meditation under the tree .	1
it didnt move .	1
i could see the monster clearly now that i had stepped into its world .	1
it was hunched over , occasionally touching the ground with one of its curled front paws .	1
dark saliva dripped out of its mouth .	1
the beady black eyes made it no less scary .	1
i knew exactly what it is .	1
a thrasher !	1
a shiver ran down my spine .	1
thrashers were probably one of the most feral and nasty monsters ive ever encountered .	1
they sometimes travel alone or hunt in packs .	1
theyre awful in packs , extremely hard to take out without their knowledge of your presence .	1
